MainDisciplineLevel1,CallDecisionYear,CallEndDate,FundingInstrumentGaReporting,ResponsibleApplicantGender,IsApproved,fi,research_area
Biology and Medicine,2018,2018-08-02,Fellowships,m,FALSE,Postdoc.Mobility,LS
Humanities and Social Sciences,2020,2020-09-01,Fellowships,m,FALSE,Early Postdoc.Mobility,SSH
Humanities and Social Sciences,2018,2018-03-01,Fellowships,m,TRUE,Doc.Mobility,SSH
Biology and Medicine,2019,2019-04-02,Project funding (Div. I-III),m,FALSE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2020,2019-11-01,Ambizione,m,FALSE,Ambizione,MINT
Biology and Medicine,2020,2020-03-02,Fellowships,m,FALSE,Doc.Mobility,LS
"Mathematics, Natural- and Engineering Sciences",2019,2019-04-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2020,2020-02-03,Eccellenza,m,FALSE,Eccellenza/ SNSF Professorships,MINT
"Mathematics, Natural- and Engineering Sciences",2020,2019-10-01,Project funding (Div. I-III),m,TRUE,Project funding,MINT
Biology and Medicine,2019,2019-04-02,Project funding (Div. I-III),m,FALSE,Project funding,LS
Biology and Medicine,2018,2018-04-03,Project funding (Div. I-III),m,FALSE,Project funding,LS
Humanities and Social Sciences,2019,2019-02-01,Eccellenza,m,FALSE,Eccellenza/ SNSF Professorships,SSH
"Mathematics, Natural- and Engineering Sciences",2020,2019-10-01,Project funding (Div. I-III),m,TRUE,Project funding,MINT
Humanities and Social Sciences,2018,2018-03-01,Fellowships,m,TRUE,Doc.Mobility,SSH
Biology and Medicine,2020,2020-03-02,Fellowships,f,FALSE,Early Postdoc.Mobility,LS
Biology and Medicine,2019,2019-09-02,Fellowships,f,TRUE,Early Postdoc.Mobility,LS
Humanities and Social Sciences,2019,2019-03-01,Fellowships,f,FALSE,Doc.Mobility,SSH
"Mathematics, Natural- and Engineering Sciences",2020,2020-04-08,Project funding (Div. I-III),m,FALSE,Project funding,MINT
Humanities and Social Sciences,2020,2020-04-08,Project funding (Div. I-III),m,FALSE,Project funding,SSH
"Mathematics, Natural- and Engineering Sciences",2020,2019-10-01,Project funding (Div. I-III),m,TRUE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2020,2020-09-01,Fellowships,m,FALSE,Early Postdoc.Mobility,MINT
Humanities and Social Sciences,2018,2018-03-01,Fellowships,m,TRUE,Early Postdoc.Mobility,SSH
"Mathematics, Natural- and Engineering Sciences",2020,2020-04-08,Project funding (Div. I-III),f,FALSE,Project funding,MINT
Biology and Medicine,2020,2019-10-01,Project funding (Div. I-III),m,FALSE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2019,2019-09-02,Fellowships,f,TRUE,Early Postdoc.Mobility,MINT
Biology and Medicine,NA,2014-12-31,Project funding (Div. I-III),m,TRUE,Project funding,LS
Humanities and Social Sciences,2020,2020-09-01,Fellowships,f,TRUE,Doc.Mobility,SSH
"Mathematics, Natural- and Engineering Sciences",2019,2019-04-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
Biology and Medicine,2019,2019-04-02,Project funding (Div. I-III),m,FALSE,Project funding,LS
Biology and Medicine,2019,2019-09-02,Fellowships,f,FALSE,Doc.Mobility,LS
"Mathematics, Natural- and Engineering Sciences",2019,2018-11-01,Ambizione,m,FALSE,Ambizione,MINT
Humanities and Social Sciences,2020,2020-04-08,Project funding (Div. I-III),m,TRUE,Project funding,SSH
Biology and Medicine,2018,2018-09-03,Fellowships,f,FALSE,Early Postdoc.Mobility,LS
"Mathematics, Natural- and Engineering Sciences",2019,2019-04-02,Project funding (Div. I-III),m,TRUE,Project funding,MINT
Humanities and Social Sciences,2020,2020-04-08,Project funding (Div. I-III),f,FALSE,Project funding,SSH
Biology and Medicine,2018,2018-02-01,Fellowships,m,FALSE,Postdoc.Mobility,LS
"Mathematics, Natural- and Engineering Sciences",2019,2019-04-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
Humanities and Social Sciences,2020,2019-11-01,Ambizione,m,FALSE,Ambizione,SSH
Biology and Medicine,2019,2019-04-02,Project funding (Div. I-III),f,TRUE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,SNSF Professorships,m,TRUE,Eccellenza/ SNSF Professorships,MINT
Biology and Medicine,2020,2019-11-01,PRIMA,f,TRUE,PRIMA,LS
Biology and Medicine,2020,2020-04-08,Project funding (Div. I-III),m,TRUE,Project funding,LS
Humanities and Social Sciences,2019,2018-11-01,Ambizione,f,TRUE,Ambizione,SSH
Humanities and Social Sciences,2018,2017-11-01,Ambizione,m,FALSE,Ambizione,SSH
"Mathematics, Natural- and Engineering Sciences",2019,2019-04-02,Project funding (Div. I-III),m,TRUE,Project funding,MINT
Biology and Medicine,2018,2018-03-01,Fellowships,f,TRUE,Early Postdoc.Mobility,LS
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,SNSF Professorships,m,FALSE,Eccellenza/ SNSF Professorships,MINT
Humanities and Social Sciences,2020,2020-09-01,Fellowships,m,FALSE,Doc.Mobility,SSH
Biology and Medicine,2020,2020-09-01,Fellowships,f,FALSE,Early Postdoc.Mobility,LS
"Mathematics, Natural- and Engineering Sciences",2019,2019-04-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2018,2018-08-02,Fellowships,m,FALSE,Postdoc.Mobility,MINT
"Mathematics, Natural- and Engineering Sciences",2019,2018-10-01,Project funding (Div. I-III),f,FALSE,Project funding,MINT
Humanities and Social Sciences,2020,2020-03-02,Fellowships,f,TRUE,Early Postdoc.Mobility,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2018-04-03,Project funding (Div. I-III),m,FALSE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2020,2020-03-02,Fellowships,m,TRUE,Early Postdoc.Mobility,MINT
Biology and Medicine,2018,2017-10-02,Project funding (Div. I-III),m,FALSE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2020,2020-02-03,Fellowships,f,TRUE,Postdoc.Mobility,MINT
Biology and Medicine,2018,2018-03-01,Fellowships,m,TRUE,Early Postdoc.Mobility,LS
Humanities and Social Sciences,2018,2017-09-11,Doc.CH (until 2020),f,TRUE,Doc.CH,SSH
Humanities and Social Sciences,2020,2019-10-01,Project funding (Div. I-III),m,FALSE,Project funding,SSH
Biology and Medicine,2018,2017-10-02,Project funding (Div. I-III),m,TRUE,Project funding,LS
Humanities and Social Sciences,2020,2019-11-01,PRIMA,f,FALSE,PRIMA,SSH
Humanities and Social Sciences,NA,2014-12-31,Project funding (Div. I-III),m,TRUE,Project funding,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,SNSF Professorships,m,TRUE,Eccellenza/ SNSF Professorships,MINT
Humanities and Social Sciences,2019,2019-09-02,Fellowships,m,FALSE,Doc.Mobility,SSH
Humanities and Social Sciences,2020,2020-03-02,Fellowships,f,FALSE,Early Postdoc.Mobility,SSH
Humanities and Social Sciences,2018,2018-09-03,Fellowships,m,FALSE,Early Postdoc.Mobility,SSH
Biology and Medicine,2020,2019-10-01,Project funding (Div. I-III),m,FALSE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2020,2020-04-08,Project funding (Div. I-III),m,FALSE,Project funding,MINT
Humanities and Social Sciences,2020,2020-04-08,Project funding (Div. I-III),f,FALSE,Project funding,SSH
Biology and Medicine,2018,2017-10-02,Project funding (Div. I-III),m,FALSE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2020,2020-04-08,Project funding (Div. I-III),m,FALSE,Project funding,MINT
Biology and Medicine,2020,2020-04-08,Project funding (Div. I-III),f,FALSE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2018,2018-08-02,Fellowships,m,TRUE,Postdoc.Mobility,MINT
Humanities and Social Sciences,2018,2018-04-03,Project funding (Div. I-III),m,TRUE,Project funding,SSH
Biology and Medicine,2019,2019-08-02,Fellowships,m,TRUE,Postdoc.Mobility,LS
Biology and Medicine,2018,2018-02-01,Fellowships,m,TRUE,Postdoc.Mobility,LS
Biology and Medicine,2019,2018-11-01,Ambizione,m,TRUE,Ambizione,LS
Humanities and Social Sciences,2019,2019-08-02,Fellowships,m,FALSE,Postdoc.Mobility,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,Project funding (Div. I-III),f,TRUE,Project funding,MINT
Humanities and Social Sciences,2019,2019-03-01,Fellowships,f,TRUE,Early Postdoc.Mobility,SSH
"Mathematics, Natural- and Engineering Sciences",2019,2018-11-01,PRIMA,f,TRUE,PRIMA,MINT
Biology and Medicine,2019,2019-04-02,Project funding (Div. I-III),m,TRUE,Project funding,LS
Humanities and Social Sciences,2020,2019-10-01,Project funding (Div. I-III),f,TRUE,Project funding,SSH
"Mathematics, Natural- and Engineering Sciences",2019,2018-11-01,Ambizione,m,TRUE,Ambizione,MINT
"Mathematics, Natural- and Engineering Sciences",2020,2020-02-03,Eccellenza,f,FALSE,Eccellenza/ SNSF Professorships,MINT
"Mathematics, Natural- and Engineering Sciences",2018,2018-04-03,Project funding (Div. I-III),m,TRUE,Project funding,MINT
Humanities and Social Sciences,2018,2018-04-03,Project funding (Div. I-III),f,TRUE,Project funding,SSH
Biology and Medicine,2019,2019-09-02,Fellowships,f,TRUE,Doc.Mobility,LS
"Mathematics, Natural- and Engineering Sciences",2018,2018-02-01,Fellowships,m,TRUE,Postdoc.Mobility,MINT
Humanities and Social Sciences,2020,2020-09-01,Fellowships,m,TRUE,Early Postdoc.Mobility,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2018-03-01,Fellowships,f,TRUE,Early Postdoc.Mobility,MINT
"Mathematics, Natural- and Engineering Sciences",2020,2019-10-01,Project funding (Div. I-III),m,TRUE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2019,2019-03-01,Fellowships,m,TRUE,Early Postdoc.Mobility,MINT
Humanities and Social Sciences,2018,2018-04-03,Project funding (Div. I-III),m,FALSE,Project funding,SSH
Biology and Medicine,2019,2019-04-02,Project funding (Div. I-III),m,TRUE,Project funding,LS
Humanities and Social Sciences,2018,2018-04-03,Project funding (Div. I-III),m,FALSE,Project funding,SSH
Biology and Medicine,2018,2018-09-03,Fellowships,f,TRUE,Doc.Mobility,LS
Biology and Medicine,2018,2018-04-03,Project funding (Div. I-III),m,FALSE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2020,2020-09-01,Fellowships,m,FALSE,Early Postdoc.Mobility,MINT
Biology and Medicine,2019,2019-04-02,Project funding (Div. I-III),f,TRUE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
Humanities and Social Sciences,2019,2019-03-01,Fellowships,f,FALSE,Doc.Mobility,SSH
Humanities and Social Sciences,2020,2020-08-03,Fellowships,m,FALSE,Postdoc.Mobility,SSH
Biology and Medicine,2019,2019-09-02,Fellowships,m,FALSE,Early Postdoc.Mobility,LS
Humanities and Social Sciences,2019,2018-10-01,Project funding (Div. I-III),f,FALSE,Project funding,SSH
Biology and Medicine,2019,2019-02-01,Fellowships,f,TRUE,Postdoc.Mobility,LS
"Mathematics, Natural- and Engineering Sciences",2020,2020-09-01,Fellowships,m,TRUE,Early Postdoc.Mobility,MINT
Humanities and Social Sciences,2020,2019-09-10,Doc.CH (until 2020),f,FALSE,Doc.CH,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,Project funding (Div. I-III),m,TRUE,Project funding,MINT
Humanities and Social Sciences,2018,2017-11-01,PRIMA,f,TRUE,PRIMA,SSH
Biology and Medicine,2018,2018-04-03,Project funding (Div. I-III),m,TRUE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2018,2018-02-15,Eccellenza,m,FALSE,Eccellenza/ SNSF Professorships,MINT
Biology and Medicine,2018,2018-04-03,Project funding (Div. I-III),m,TRUE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2019,2019-09-02,Fellowships,m,TRUE,Early Postdoc.Mobility,MINT
"Mathematics, Natural- and Engineering Sciences",2020,2019-10-01,Project funding (Div. I-III),f,FALSE,Project funding,MINT
Humanities and Social Sciences,2019,2019-09-02,Fellowships,f,TRUE,Early Postdoc.Mobility,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,SNSF Professorships,m,FALSE,Eccellenza/ SNSF Professorships,MINT
Humanities and Social Sciences,2018,2018-03-01,Fellowships,m,FALSE,Doc.Mobility,SSH
Humanities and Social Sciences,2018,2017-10-02,SNSF Professorships,f,TRUE,Eccellenza/ SNSF Professorships,SSH
Biology and Medicine,2020,2020-03-02,Fellowships,f,TRUE,Early Postdoc.Mobility,LS
Biology and Medicine,2019,2019-04-02,Project funding (Div. I-III),m,FALSE,Project funding,LS
Humanities and Social Sciences,2020,2020-02-03,Fellowships,f,TRUE,Postdoc.Mobility,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2018-09-03,Fellowships,m,TRUE,Early Postdoc.Mobility,MINT
"Mathematics, Natural- and Engineering Sciences",2019,2019-04-02,Project funding (Div. I-III),m,TRUE,Project funding,MINT
Biology and Medicine,2020,2020-04-08,Project funding (Div. I-III),m,TRUE,Project funding,LS
Biology and Medicine,2018,2018-03-01,Fellowships,m,TRUE,Doc.Mobility,LS
Humanities and Social Sciences,2018,2018-04-03,Project funding (Div. I-III),f,TRUE,Project funding,SSH
Humanities and Social Sciences,2020,2020-03-02,Fellowships,m,TRUE,Doc.Mobility,SSH
Biology and Medicine,2018,2018-02-01,Fellowships,f,FALSE,Postdoc.Mobility,LS
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,Project funding (Div. I-III),m,TRUE,Project funding,MINT
Biology and Medicine,2018,2017-11-01,PRIMA,f,FALSE,PRIMA,LS
"Mathematics, Natural- and Engineering Sciences",2018,2018-09-03,Fellowships,m,TRUE,Early Postdoc.Mobility,MINT
"Mathematics, Natural- and Engineering Sciences",2020,2019-10-01,Project funding (Div. I-III),m,TRUE,Project funding,MINT
Humanities and Social Sciences,2019,2018-09-10,Doc.CH (until 2020),f,FALSE,Doc.CH,SSH
Humanities and Social Sciences,2020,2020-02-03,Eccellenza,m,TRUE,Eccellenza/ SNSF Professorships,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2020,2020-04-08,Project funding (Div. I-III),m,TRUE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2020,2020-02-03,Fellowships,m,FALSE,Postdoc.Mobility,MINT
Humanities and Social Sciences,2018,2017-11-01,Ambizione,m,TRUE,Ambizione,SSH
Humanities and Social Sciences,2020,2019-11-01,PRIMA,f,FALSE,PRIMA,SSH
"Mathematics, Natural- and Engineering Sciences",2019,2019-04-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
Biology and Medicine,2019,2019-04-02,Project funding (Div. I-III),m,TRUE,Project funding,LS
Biology and Medicine,2019,2018-11-01,PRIMA,f,TRUE,PRIMA,LS
Humanities and Social Sciences,2020,2020-09-01,Fellowships,m,FALSE,Doc.Mobility,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2018-04-03,Project funding (Div. I-III),f,FALSE,Project funding,MINT
Biology and Medicine,2018,2018-04-03,Project funding (Div. I-III),m,TRUE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2020,2019-10-01,Project funding (Div. I-III),m,FALSE,Project funding,MINT
Humanities and Social Sciences,2019,2018-10-01,Project funding (Div. I-III),f,FALSE,Project funding,SSH
Biology and Medicine,2020,2019-11-01,Ambizione,m,FALSE,Ambizione,LS
"Mathematics, Natural- and Engineering Sciences",2019,2019-04-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
Biology and Medicine,2020,2020-04-08,Project funding (Div. I-III),f,TRUE,Project funding,LS
Humanities and Social Sciences,2020,2019-11-01,Ambizione,m,FALSE,Ambizione,SSH
Biology and Medicine,2020,2020-03-02,Fellowships,f,FALSE,Early Postdoc.Mobility,LS
Humanities and Social Sciences,2018,2018-03-01,Fellowships,f,TRUE,Doc.Mobility,SSH
Biology and Medicine,2018,2018-02-01,Fellowships,f,FALSE,Postdoc.Mobility,LS
Biology and Medicine,2020,2020-02-03,Eccellenza,f,TRUE,Eccellenza/ SNSF Professorships,LS
Humanities and Social Sciences,2019,2018-09-10,Doc.CH (until 2020),m,FALSE,Doc.CH,SSH
Humanities and Social Sciences,2020,2020-09-01,Fellowships,m,FALSE,Doc.Mobility,SSH
Humanities and Social Sciences,2020,2019-11-01,Ambizione,m,FALSE,Ambizione,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
Biology and Medicine,2019,2018-10-01,Project funding (Div. I-III),m,FALSE,Project funding,LS
"Mathematics, Natural- and Engineering Sciences",2020,2019-10-01,Project funding (Div. I-III),m,FALSE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2019,2019-04-02,Project funding (Div. I-III),m,TRUE,Project funding,MINT
Biology and Medicine,2019,2019-02-01,Eccellenza,m,FALSE,Eccellenza/ SNSF Professorships,LS
Biology and Medicine,2018,2017-10-02,Project funding (Div. I-III),f,TRUE,Project funding,LS
Humanities and Social Sciences,2020,2020-09-01,Fellowships,m,TRUE,Doc.Mobility,SSH
Humanities and Social Sciences,2019,2018-10-01,Project funding (Div. I-III),m,TRUE,Project funding,SSH
Humanities and Social Sciences,2018,2018-04-03,Project funding (Div. I-III),m,FALSE,Project funding,SSH
"Mathematics, Natural- and Engineering Sciences",2020,2020-03-02,Fellowships,m,TRUE,Early Postdoc.Mobility,MINT
"Mathematics, Natural- and Engineering Sciences",2018,2018-02-15,Eccellenza,m,TRUE,Eccellenza/ SNSF Professorships,MINT
Biology and Medicine,2020,2020-02-03,Eccellenza,m,FALSE,Eccellenza/ SNSF Professorships,LS
Humanities and Social Sciences,2019,2019-09-02,Fellowships,m,FALSE,Doc.Mobility,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2018-04-03,Project funding (Div. I-III),m,TRUE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2018,2017-11-01,PRIMA,f,FALSE,PRIMA,MINT
"Mathematics, Natural- and Engineering Sciences",2018,2017-10-02,Project funding (Div. I-III),m,TRUE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2019,2019-04-02,Project funding (Div. I-III),m,FALSE,Project funding,MINT
"Mathematics, Natural- and Engineering Sciences",2018,2017-11-01,Ambizione,m,FALSE,Ambizione,MINT
"Mathematics, Natural- and Engineering Sciences",2018,2018-09-03,Fellowships,f,TRUE,Early Postdoc.Mobility,MINT
"Mathematics, Natural- and Engineering Sciences",2018,2018-02-01,Fellowships,f,FALSE,Postdoc.Mobility,MINT
"Mathematics, Natural- and Engineering Sciences",2020,2020-09-01,Fellowships,f,TRUE,Early Postdoc.Mobility,MINT
Humanities and Social Sciences,2018,2018-04-03,Project funding (Div. I-III),f,TRUE,Project funding,SSH
"Mathematics, Natural- and Engineering Sciences",2018,2018-03-01,Fellowships,f,TRUE,Early Postdoc.Mobility,MINT
Biology and Medicine,2018,2017-11-01,PRIMA,f,TRUE,PRIMA,LS
"Mathematics, Natural- and Engineering Sciences",2019,2019-02-01,Eccellenza,m,TRUE,Eccellenza/ SNSF Professorships,MINT
Biology and Medicine,2020,2019-11-01,Ambizione,f,TRUE,Ambizione,LS
"Mathematics, Natural- and Engineering Sciences",2020,2020-02-03,Eccellenza,f,TRUE,Eccellenza/ SNSF Professorships,MINT
Biology and Medicine,2018,2018-09-03,Fellowships,f,FALSE,Early Postdoc.Mobility,LS
Humanities and Social Sciences,2020,2020-03-10,Doc.CH (until 2020),m,FALSE,Doc.CH,SSH
